#TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_192,Bacteria,Chloroflexi,Gitt-GS-136,Unassigned,Unassigned,Unassigned,Unassigned
ASV_193,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Unassigned,Unassigned,Unassigned
ASV_194,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned,Unassigned
ASV_195,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV_196,Bacteria,NB1-j,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV_197,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,autotrophicum
ASV_198,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Thiobacillus,denitrificans
ASV_199,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,Unassigned,Unassigned,Unassigned
ASV_200,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unassigned,Unassigned
ASV_201,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,Unassigned,Unassigned
ASV_202,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,Unassigned
ASV_203,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Unassigned
ASV_204,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Unassigned
ASV_205,Bacteria,Acidobacteriota,Holophagae,Subgroup 7,Unassigned,Unassigned,Unassigned
ASV_206,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,UTCFX1,Unassigned
ASV_207,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Unassigned,Unassigned
ASV_208,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Unassigned,Unassigned,Unassigned
ASV_209,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,Unassigned
ASV_210,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,Unassigned,Unassigned
ASV_211,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,Unassigned
ASV_212,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Unassigned,Unassigned
ASV_213,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Unassigned,Unassigned
ASV_214,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV_215,Bacteria,Acidobacteriota,Holophagae,Subgroup 7,Unassigned,Unassigned,Unassigned
ASV_216,Bacteria,Acidobacteriota,Blastocatellia,11月24日,Unassigned,Unassigned,Unassigned
ASV_217,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Unassigned,Unassigned
ASV_218,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Unassigned
ASV_219,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Unassigned,Unassigned,Unassigned
ASV_220,Bacteria,Actinobacteriota,Thermoleophilia,Unassigned,Unassigned,Unassigned,Unassigned
ASV_221,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup 2,Unassigned,Unassigned,Unassigned
ASV_222,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unassigned
ASV_223,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Unassigned
ASV_224,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,Unassigned
ASV_225,Bacteria,NB1-j,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV_226,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unassigned,Unassigned
ASV_227,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,Unassigned,Unassigned
